educ_occ_score,median_mortgage_repayment,main_state
NA,NA,NA
NA,NA,ACT
NA,NA,NSW
NA,NA,NT
NA,NA,QLD
NA,NA,SA
NA,NA,TAS
NA,NA,VIC
NA,NA,WA
NA,25608,QLD
683,NA,VIC
752,23796,NSW
759,17772,NSW
771,12000,SA
783,12348,WA
786,10404,NSW
802,NA,SA
803,15600,QLD
807,NA,TAS
808,13524,VIC
810,12000,TAS
812,11964,TAS
814,14040,SA
817,11028,NSW
818,14772,QLD
820,10560,QLD
821,10404,NSW
821,14400,NT
823,14556,QLD
825,6744,TAS
828,14400,QLD
831,7800,TAS
831,8208,QLD
832,12996,SA
833,NA,QLD
835,15228,TAS
835,15600,SA
836,16728,NSW
838,18000,VIC
839,14400,SA
840,16224,NSW
841,5616,NT
841,16200,VIC
841,18624,NSW
841,21840,QLD
842,7152,TAS
842,7800,TAS
843,18204,QLD
844,14400,TAS
844,14460,VIC
844,15852,VIC
844,20796,WA
845,10404,SA
846,15600,VIC
848,NA,QLD
849,12624,QLD
850,20400,NSW
851,7800,VIC
851,10308,TAS
851,20280,NSW
852,NA,TAS
852,8220,TAS
852,14040,SA
853,11844,QLD
853,18204,WA
853,19224,NSW
854,NA,SA
855,10404,QLD
855,11148,SA
855,14400,NSW
856,8976,NSW
856,10404,NSW
856,20604,WA
857,9096,NSW
857,10080,VIC
858,13200,TAS
859,6756,SA
859,8508,SA
859,13524,QLD
859,15600,NSW
859,18204,NSW
859,19764,NSW
860,NA,QLD
860,14928,QLD
860,15600,NT
861,11988,QLD
861,20796,QLD
862,21840,QLD
863,10404,SA
864,6240,SA
864,14400,WA
864,18204,WA
866,11964,QLD
866,16896,VIC
866,21996,WA
867,15228,SA
867,18204,QLD
868,11772,WA
868,15996,QLD
868,16644,SA
868,17652,SA
868,20832,NSW
869,10404,SA
869,12216,SA
869,12792,VIC
869,13260,TAS
869,18204,WA
870,9060,QLD
870,10536,TAS
870,18000,NT
871,12480,TAS
871,17916,SA
871,19500,QLD
872,8004,TAS
872,9600,QLD
872,14148,SA
872,14400,QLD
873,11004,WA
873,14040,QLD
873,19536,QLD
873,22356,NSW
874,10404,TAS
874,11832,VIC
874,15600,WA
874,19236,NSW
874,20796,QLD
875,11520,QLD
875,15600,NSW
875,15600,TAS
876,14040,SA
876,15600,QLD
876,16896,WA
876,18204,VIC
876,21204,WA
877,17352,SA
877,18456,QLD
877,21504,QLD
878,12996,QLD
878,13524,QLD
878,17676,QLD
878,20796,WA
879,NA,WA
879,10404,VIC
879,13596,WA
879,14352,SA
880,12972,SA
880,14400,NSW
880,16800,SA
880,17700,NT
880,18204,NSW
880,19788,WA
880,20280,NSW
880,20544,NSW
880,20568,NSW
880,24000,WA
880,25140,NT
881,14460,NSW
881,20400,QLD
882,12996,VIC
882,14556,QLD
882,18204,QLD
883,4800,NSW
883,6372,TAS
883,15288,NSW
883,15600,QLD
883,18780,NSW
884,11700,QLD
884,12996,TAS
884,19680,QLD
885,10800,VIC
885,11964,QLD
885,15600,NSW
885,15600,QLD
885,15600,TAS
885,18984,QLD
885,20400,NSW
886,3912,QLD
886,7800,SA
886,12996,VIC
886,19632,WA
886,20748,WA
886,20796,NSW
886,23400,NSW
887,9732,VIC
887,12120,TAS
887,12996,NSW
887,13236,TAS
887,13800,QLD
887,15600,SA
887,18000,VIC
887,18204,QLD
887,19500,QLD
888,10404,QLD
888,13200,QLD
888,16632,SA
888,18096,VIC
888,20796,NSW
889,7800,SA
889,15600,QLD
889,18000,QLD
889,19200,QLD
889,20796,WA
889,21840,WA
890,12000,SA
890,12000,VIC
890,13104,NSW
890,13332,SA
890,18000,QLD
891,24000,WA
892,15084,VIC
892,15600,QLD
892,16020,NSW
892,16116,SA
892,18204,NSW
892,18204,VIC
893,9360,SA
893,11076,QLD
893,12072,NSW
893,12636,VIC
893,12996,NSW
893,14040,QLD
893,18960,WA
893,19500,NSW
893,19800,QLD
893,20040,VIC
893,20796,QLD
894,NA,NT
894,NA,WA
894,10152,NSW
894,11964,QLD
894,13824,SA
894,17676,QLD
895,11700,VIC
895,15600,VIC
895,18000,SA
895,18456,NSW
896,9600,WA
896,9996,SA
896,12480,SA
896,14400,QLD
896,16644,SA
896,20796,NSW
897,12000,QLD
897,12996,TAS
897,14400,VIC
897,16896,TAS
897,18084,SA
897,18204,VIC
897,18240,QLD
897,23400,NSW
898,4800,QLD
898,5460,TAS
898,13260,NSW
898,15240,VIC
898,16800,NSW
898,18204,NSW
898,18204,SA
898,19500,NSW
899,5196,VIC
899,6504,NSW
899,10404,NSW
899,12000,QLD
899,12000,TAS
899,13200,SA
899,13524,QLD
899,13728,VIC
899,13860,SA
899,14688,QLD
899,15600,QLD
899,16644,QLD
899,18516,QLD
899,18720,NSW
900,NA,WA
900,11436,NSW
900,12240,VIC
900,12600,WA
900,12720,WA
900,17028,VIC
900,18720,NT
900,21600,WA
901,NA,SA
901,10008,QLD
901,13440,NSW
901,19500,QLD
902,12996,VIC
902,15060,NSW
902,18984,QLD
902,19200,QLD
902,22800,WA
903,11724,VIC
903,13140,QLD
903,13524,VIC
903,14400,TAS
903,15600,VIC
903,16800,VIC
903,18204,SA
903,20700,WA
904,13452,QLD
904,16116,NSW
904,17664,NSW
904,24000,NSW
905,NA,WA
905,7800,NSW
905,12996,VIC
905,14400,VIC
905,15060,QLD
905,15600,QLD
905,19200,VIC
906,7512,SA
906,7800,VIC
906,10404,WA
906,12000,SA
906,12996,SA
906,13308,QLD
906,15600,NSW
906,15600,QLD
906,15960,QLD
906,17580,VIC
906,18000,QLD
906,18000,SA
906,18108,QLD
906,18204,QLD
907,NA,WA
